Time,Open,High,Low,Last,Change,%Change,Volume
2025-10-24,4291.53,4294.22,4218.73,4218.73,-72.3,-1.68%,764
2025-10-23,4256.12,4337.43,4222.24,4291.03,34.53,+0.81%,1714
2025-10-22,4283.1,4317.5,4200.01,4256.5,-28.05,-0.65%,1679
2025-10-21,4610.87,4621.52,4239.65,4284.55,-325.71,-7.06%,1696
2025-10-20,4565,4626.4,4528.76,4610.26,45.02,+0.99%,1654
2025-10-17,4764.11,4783.48,4491.71,4565.24,-198.44,-4.17%,1660
2025-10-16,4660.39,4763.69,4630.9,4763.68,103.87,+2.23%,1667
2025-10-15,4575.01,4682.22,4572.82,4659.81,85,+1.86%,1735
2025-10-14,4638.27,4744.51,4491.82,4574.81,-62.58,-1.35%,1721
2025-10-13,4452.75,4637.39,4452.75,4637.39,185.68,+4.17%,1685
2025-10-10,4376.48,4527.66,4357.52,4451.71,74.4,+1.70%,1642
2025-10-09,4335.46,4521.38,4322.8,4377.31,42.31,+0.98%,1695
2025-10-08,4243.32,4392.01,4243.32,4335,91.83,+2.16%,1720
2025-10-07,4306.15,4312.46,4220.3,4243.17,-63.11,-1.47%,1748
2025-10-06,4258.45,4324.17,4258.45,4306.28,47.59,+1.12%,1804
2025-10-03,4166.91,4285.32,4146.87,4258.69,91.69,+2.20%,1807
2025-10-02,4193.52,4253.54,4095.17,4167,-26.08,-0.62%,1821
2025-10-01,4146,4232.18,4144.25,4193.08,47.06,+1.14%,1771
2025-09-30,4160.58,4183.74,4080.24,4146.02,-14.38,-0.35%,1728
2025-09-29,4087.2,4179.58,4087.2,4160.4,73.91,+1.81%,1732
2025-09-26,4011.54,4127.33,3964.38,4086.49,74.72,+1.86%,1780
2025-09-25,3899.37,4012.56,3890.72,4011.77,112.44,+2.88%,1854
2025-09-24,3910.21,3926.69,3880.89,3899.33,-10.73,-0.27%,1811
2025-09-23,3891.03,3940.88,3860.05,3910.06,18.73,+0.48%,1851
2025-09-22,3793.2,3894.4,3793.2,3891.33,98.25,+2.59%,1881
2025-09-19,3688.88,3793.08,3676.11,3793.08,104.18,+2.82%,1920
2025-09-18,3662.31,3694.57,3637.92,3688.9,26.31,+0.72%,1943
2025-09-17,3742.49,3746.68,3627.55,3662.59,-80.04,-2.14%,1920
2025-09-16,3764.66,3777.44,3730.53,3742.63,-22.29,-0.59%,1980
2025-09-15,3721.26,3766.02,3712.53,3764.92,44.15,+1.19%,2020
2025-09-12,3668.19,3740.04,3658.19,3720.77,52.37,+1.43%,1969
2025-09-11,3624.1,3683.12,3615.25,3668.4,44.33,+1.22%,1984
2025-09-10,3609.14,3635.37,3598.65,3624.07,14.67,+0.41%,2048
2025-09-09,3635.75,3650.08,3603.45,3609.4,-26.43,-0.73%,1965
2025-09-08,3613.27,3656.66,3577.33,3635.83,22.1,+0.61%,1920
2025-09-05,3587.04,3639.89,3580.11,3613.73,26.37,+0.74%,1944
2025-09-04,3628.48,3628.48,3572.6,3587.36,-41.34,-1.14%,1937
2025-09-03,3599.22,3644.09,3580.2,3628.7,28.65,+0.80%,1930
2025-09-02,3585.31,3601.03,3550.9,3600.05,14.32,+0.40%,1912
2025-09-01,3501.03,3593.21,3494.3,3585.73,84.85,+2.42%,1706
2025-08-29,3421.92,3520.51,3404.97,3500.88,78.69,+2.30%,1964
2025-08-28,3382.09,3423.91,3382.09,3422.19,40.27,+1.19%,2040
2025-08-27,3383.61,3390.62,3350.9,3381.92,-1.54,-0.05%,2078
2025-08-26,3377.96,3407.56,3364.08,3383.46,5.59,+0.17%,2025
2025-08-25,3398.35,3407.16,3377.07,3377.87,-20.19,-0.59%,2095
2025-08-22,3328.62,3407.46,3311.77,3398.06,69.49,+2.09%,2054
2025-08-21,3298.15,3332.61,3277.86,3328.57,30.55,+0.93%,2097
2025-08-20,3255.06,3300.74,3219.39,3298.02,43.05,+1.32%,2019
2025-08-19,3320.44,3326.59,3246.43,3254.97,-65.4,-1.97%,2043
2025-08-18,3325.44,3339.13,3313.32,3320.37,-4.98,-0.15%,2046
2025-08-15,3333.5,3336.86,3302.3,3325.35,-8.11,-0.24%,2071
2025-08-14,3367.86,3386.61,3326.19,3333.46,-34.22,-1.02%,2020
2025-08-13,3321.83,3379.21,3316.95,3367.68,45.99,+1.38%,2095
2025-08-12,3298.94,3325.22,3295.29,3321.69,22.59,+0.68%,2050
2025-08-11,3353.83,3354.64,3299.1,3299.1,-59.84,-1.78%,1930
2025-08-08,3345.96,3372.65,3330.29,3358.94,12.54,+0.37%,1911
2025-08-07,3318.89,3362.71,3318.89,3346.4,27.7,+0.83%,1968
2025-08-06,3318.65,3327.33,3307.41,3318.7,0.13,0.00%,2068
2025-08-05,3288.39,3324.89,3277.29,3318.57,29.55,+0.90%,2050
2025-08-04,3231.1,3289.08,3203.64,3289.02,61.4,+1.90%,1969
2025-08-01,3212.89,3233.44,3182.9,3227.62,14.64,+0.46%,1904
2025-07-31,3255.22,3264.37,3180.83,3212.98,-42.03,-1.29%,1885
2025-07-30,3325.5,3333.88,3233.38,3255.01,-70.24,-2.11%,1948
2025-07-29,3310.83,3326.35,3303.19,3325.25,14.2,+0.43%,2037
2025-07-28,3302.02,3315.06,3295.87,3311.05,8.09,+0.24%,2003
2025-07-25,3374.98,3387.1,3294.84,3302.96,-72.11,-2.14%,1967
2025-07-24,3391.95,3397.29,3356.33,3375.07,-16.85,-0.50%,1937
2025-07-23,3393.18,3411.29,3380.19,3391.92,-1.04,-0.03%,1925
